;name;lat;lon;zone
0;Parking Gare Wodli;48.5873845279566;7.7367710015538;1
1;Parking Zénith;48.5953352876375;7.68646701218103;3
2;Parking Centre Opéra Broglie;48.585689025956;7.74927491976424;1
3;Parking Baggersee;48.5446469517313;7.73569466237007;3
4;Parking Bateliers;48.5810021316449;7.75604844096195;1
5;Parking Austerlitz;48.5779636853829;7.75179597699974;1
6;Parking Gutenberg;48.5815606649063;7.74828482148178;1
7;Parking Kleber Homme de fer;48.5834973716322;7.74506276428556;1
8;Parking Halles P1 Marais vert;48.5873618580082;7.73937493189863;1
9;Parking P2 Sebastopol;48.5867897638138;7.74215216511801;1
10;Parking Robertsau Boecklin;48.5979711278741;7.77656295435852;3
11;Parking Centre historique Petite France;48.5791976381607;7.73525856082617;1
12;Parking Rives de l'Aar;48.5996315289378;7.75381030140218;2
13;Parking Saint Nicolas;48.5755761553687;7.74952649489905;1
14;Parking Ducs d'Alsace;48.5892383943901;7.71596677960563;2
15;Parking Elsau;48.5684033861816;7.73031009299049;2
16;Parking Rotonde;48.5912264325338;7.72610093327335;2
17;Parking Gare courte durée;48.5843287980526;7.73587617577237;1
18;Parking Sainte Aurélie Gare;48.5825499187466;7.73227518458014;1
19;Parking P3 Wilson;48.5879606695026;7.74014892918823;1
20;Parking Hoenheim gare;48.62788850674;7.75778587766437;3
21;;;;3
