;name;lat;lon;zone
0;Bischheim Gare;48.611639;7.742056;2
1;Bischheim Espace Européen;48.616361;7.720056;3
2;Entzheim Gare;48.547222;7.628056;3
3;Geispolsheim Gare;48.521222;7.684944;3
4;Hoenheim Gare;48.628333;7.758833;3
5;Campus d'Illkirch;48.528917;7.732778;3
6;Salle des fêtes;48.524194;7.707583;3
7;La Wantzenau Gare;48.664972;7.824972;3
8;Lingolsheim Gare;48.559694;7.678194;3
9;Mundolsheim Gare;48.645404;7.721483;3
10;Oberhausbergen Mairie;48.605593;7.685699;3
11;Schiltigheim Mairie;48.606417;7.749778;2
12;Strasbourg Gare Centrale;48.584306;7.73475;1
13;Roethig Gare;48.563583;7.694944;3
14;Elsau;48.56775;7.726917;2
15;Rotonde;48.591806;7.725278;2
16;Rives de l Aar;48.599972;7.754306;2
17;Robertsau Boecklin;48.598108;7.778822;3
18;Poteries;48.583333;7.691639;3
19;Citadelle;48.570209;7.779269;3
20;Halles;48.588024;7.740345;1
21;République;48.587757;7.755487;1
22;Austerlitz;48.578111;7.751944;1
23;Parc des Romains;48.581129;7.723453;2
24;Broglie;48.585333;7.749722;1
25;Université;48.582028;7.766611;2
26;Place Arnold;48.584528;7.768694;2
27;Place du Marché;48.566222;7.759222;2
28;Place d'Islande;48.580417;7.776972;3
29;Etoile Bourse;48.574417;7.753833;1
30;Etoile Cinéma;48.5735;7.762444;2
31;Krimmeri Gare;48.561806;7.751889;2
32;Parlement;48.5995;7.766917;2
33;Musée d'Art Moderne;48.580306;7.736;1
34;Place de Bordeaux;48.593778;7.757361;2
35;Rotterdam;48.581564;7.782014;3
36;Jean Jaurès;48.567206;7.772907;2
37;Vendenheim Gare;48.665556;7.718611;3
